1703	1965	6055
131	1315	6041
12	334	6038
13	970	6036
12	173	6035
138	910	6032
22	386	6015
13	390	5985
12	1602	5981
9	412	5979
2	1168	5975
90	766	5961
8	1086	5949
13	912	5947
182	202	5944
28	216	5942
44	56	5939
8	79	5932
47	407	5924
308	363	5920
33	1506	5918
110	2380	5916
4	217	5909
490	1969	5908
77	714	5907
24	412	5903
18	70	5899
61	106	5895
90	2488	5892
6	87	5885
13	3739	5883
8	913	5876
8	213	5870
87	217	5867
58	166	5861
27	216	5859
111	692	5856
105	922	5850
6	509	5850
33	351	5844
27	530	5843
2	1086	5840
9	881	5838
6	383	5833
12	1754	5828
13	2380	5801
8	190	5797
1170	1466	5794
16	98	5791
12	120	5785
33	1622	5781
24	1009	5772
19	137	5771
8	293	5764
4	1099	5761
12	1020	5759
12	655	5757
3	228	5757
22	793	5756
6	641	5752
223	1344	5747
28	386	5745
32	282	5733
3	302	5728
44	1263	5719
127	1107	5715
71	313	5714
119	728	5712
93	149	5705
12	1383	5700
2	1275	5699
175	249	5694
8	2328	5692
348	2301	5690
1050	1458	5690
292	524	5689
36	50	5685
449	513	5682
238	412	5678
12	168	5676
449	686	5675
110	782	5674
8	2607	5667
127	811	5662
2	57	5661
96	151	5659
2	730	5653
334	646	5645
8	1535	5635
2	661	5633
8	232	5633
12	377	5619
505	730	5619
14	4238	5618
49	102	5616
2	892	5616
704	814	5613
65	407	5613
14	612	5612
12	65	5609
4	694	5609
131	726	5607
4	145	5606
8	641	5596
6	450	5589
143	551	5588
8	6827	5587
16	885	5586
65	340	5583
12	967	5582
83	656	5576
27	714	5574
192	464	5567
2	448	5564
345	2431	5560
28	235	5558
79	354	5555
113	437	5551
187	741	5541
66	113	5538
40	1034	5535
10	163	5534
13	1154	5533
4	875	5531
12	601	5526
133	770	5524
22	136	5523
127	712	5522
113	239	5521
6	93	5520
9	100	5518
6	363	5512
4	1188	5505
12	515	5497
204	811	5493
454	563	5487
263	692	5483
117	316	5482
8	811	5480
43	235	5477
23	143	5477
282	294	5474
885	2381	5473
152	848	5473
8	630	5468
