id	label	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. co-authored pubs>
grid.29857.31	Pennsylvania State University	http://en.wikipedia.org/wiki/Pennsylvania_State_University	-0.3549	0.355	1	1886	30566	56197
grid.29869.3c	Korea Research Institute of Chemical Technology	https://en.wikipedia.org/wiki/Korea_Research_Institute_of_Chemical_Technology	-1.0685	0.5195	11	307	2395	3025
grid.29906.34	Akdeniz University	http://en.wikipedia.org/wiki/Akdeniz_University	0.5682	-0.8308	18	1043	1776	4820
grid.29980.3a	University of Otago	http://en.wikipedia.org/wiki/University_of_Otago	-0.1074	-0.36	13	1603	10538	21793
grid.30055.33	Dalian University of Technology	http://en.wikipedia.org/wiki/Dalian_University_of_Technology	-0.8138	-0.3061	2	1072	11859	28988
grid.30064.31	Washington State University	http://en.wikipedia.org/wiki/Washington_State_University	-0.4771	0.3118	1	1653	10561	19489
grid.30389.31	University of California System	http://en.wikipedia.org/wiki/University_of_California	-0.0155	0.3258	1	1216	3891	7874
grid.30760.32	Medical College of Wisconsin	https://en.wikipedia.org/wiki/Medical_College_of_Wisconsin	-0.147	0.8285	1	1330	7489	13868
grid.31143.34	Mohammed V University	http://en.wikipedia.org/wiki/Mohammed_V_University	0.8261	-0.1174	8	807	1899	5645
grid.31147.30	National Institute for Public Health and the Environment	https://en.wikipedia.org/wiki/Netherlands_National_Institute_for_Public_Health_and_the_Environment	0.7119	-0.5825	16	1095	4545	5744
grid.31151.37	Centre Hospitalier Regional Universitaire De Dijon		1.1385	-0.2852	8	833	2822	4610
grid.31432.37	Kobe University	http://en.wikipedia.org/wiki/Kobe_University	-0.6171	-0.8275	4	1446	10034	21561
grid.31451.32	Zagazig University	https://en.wikipedia.org/wiki/Zagazig_University	-0.2577	-0.298	9	667	2158	5477
grid.31501.36	Seoul National University	http://en.wikipedia.org/wiki/Seoul_National_University	-0.9879	0.5912	11	1860	39975	66143
grid.31564.35	Karadeniz Technical University	http://en.wikipedia.org/wiki/Karadeniz_Technical_University	0.5592	-0.8605	18	702	1429	4849
grid.31880.32	Beijing University of Posts and Telecommunications	http://en.wikipedia.org/wiki/Beijing_University_of_Posts_and_Telecommunications	-0.8172	-0.1241	2	760	5590	17189
grid.32056.32	University of Pune	http://en.wikipedia.org/wiki/Savitribai_Phule_Pune_University	-0.3935	-0.1092	9	789	1978	6959
grid.32197.3e	Tokyo Institute of Technology	http://en.wikipedia.org/wiki/Tokyo_Institute_of_Technology	-0.5965	-0.5973	4	1501	16573	30986
