id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Publications>
2673	École Polytech	0.4214	-0.1283	9	405	647.9994	960
2678	Univ Nice Sophia Antipolis	0.5528	-0.3233	9	413	779.9982	1322
2694	Univ Montpellier 1	0.3421	-0.4093	9	358	989.9987	1346
2696	Univ Montpellier 2	0.3392	-0.3739	9	463	1380.9998	1957
2701	Univ Lorraine	0.3737	-0.1833	9	481	1019.9964	2098
2856	Chung-Ang Univ	-0.4662	0.9983	10	193	841.9997	1607
2945	Univ Western Sydney	-0.4767	0.271	11	336	806.9985	1243
3327	Soochow Univ	-0.9636	-0.1072	2	357	1296.9989	3055
3328	Univ Electron Sci & Technol China	-0.7036	-0.1902	2	255	815.9987	2115
3329	Capital Med Univ	-0.9657	-0.4747	2	332	1169.9986	2546
3330	Fourth Mil Med Univ China	-0.7953	-0.4288	2	237	598.9977	1404
3331	Chongqing Univ	-0.7447	-0.3476	2	258	727.9997	2003
3332	Beijing Univ Chem Technol	-0.6088	-0.0865	2	187	421.9993	1486
3333	Second Mil Med Univ	-1.0875	-0.3019	2	254	699.0004	1433
3334	Beijing Inst Technol	-0.6027	0.0014	2	256	768.9985	2090
3335	Nanjing Med Univ	-1.0689	-0.1121	2	273	1126.9988	2304
3336	Beihang Univ	-0.5894	0.0554	2	363	943.0005	2729
3337	Huazhong Agr Univ	-0.6009	-0.2748	2	165	312.9989	1122
3338	China Med Univ	-0.9844	-0.3583	2	224	366.9991	1475
3339	Nanjing Agr Univ	-0.9017	-0.0552	2	186	401.999	1513
3340	Zhengzhou Univ	-0.9103	-0.3414	2	227	603.999	1783
3341	Xidian Univ	-0.6852	-0.1399	2	175	424.9986	1422
3342	Third Mil Med Univ	-0.8439	-0.4598	2	188	496.9996	1286
3343	Nanjing Univ Aeronaut & Astronaut	-0.9228	0.0655	2	165	430.9993	1313
3344	S China Normal Univ	-0.8612	-0.162	2	170	417.9987	962
3345	N E Normal Univ	-1.0286	-0.1993	2	133	287.9991	853
3346	Nanjing Univ Sci & Technol	-0.9974	0.0064	2	163	475.999	1380
3347	Nanjing Univ Technol	-0.9097	0.0183	2	115	242.9996	638
3348	Natl Univ Defense Technol	-0.6875	-0.0473	2	215	410.0001	1500
3349	Donghua Univ	-0.8287	0.1566	2	142	352.9993	925
3350	Ocean Univ China	-0.6146	-0.1442	2	202	437.9994	1337
3351	Northeastern Univ - China	-0.6568	0.0597	2	192	455.9995	1514
3352	Jiangsu Univ	-1.0213	-0.097	2	168	574.0001	1604
3353	S W Univ	-0.7764	-0.3241	2	206	454.9994	1326
3354	China Pharmaceut Univ	-1.0568	-0.0538	2	112	342.9996	890
3356	N W A&F Univ	-0.5497	-0.2338	2	189	440.9993	1419
3357	Zhejiang Univ Technol	-0.8162	0.047	2	172	396.9992	946
3358	Beijing Univ Technol	-0.631	-0.0444	2	174	418.9988	1106
3359	Wuhan Univ Technol	-0.643	-0.2346	2	174	418.9991	995
3360	Harbin Med Univ	-1.0247	-0.4038	2	167	460.9992	1252
3361	Fuzhou Univ	-0.7449	-0.1609	2	158	301.9994	922
3362	Jinan Univ	-0.9176	-0.2083	2	217	661.9988	1291
3363	Chongqing Med Univ	-0.8679	-0.4852	2	226	413.9971	1059
3364	Beijing Jiaotong Univ	-0.6536	-0.0014	2	232	551.0001	1272
3365	Peking Union Med Coll	-0.9585	-0.418	2	406	1167.9988	2849
3366	Nanjing Normal Univ	-0.9559	-0.0579	2	189	421.9986	908
3367	Nanchang Univ	-0.8815	-0.2849	2	184	423.9994	1121
3368	Shaanxi Normal Univ	-0.7105	-0.2444	2	113	255.9994	769
3369	Xiangtan Univ	-0.735	-0.045	2	102	197.9993	603
3370	Southern Med Univ	-0.9664	-0.2884	2	235	668.999	1511
3371	Beijing Univ Posts & Telecom	-0.6622	-0.0901	2	160	435.9993	1090
3372	Zhejiang Normal Univ	-0.7608	0.0508	2	130	266.9994	627
3373	S China Agr Univ	-0.8635	-0.2077	2	129	296.9993	798
3374	Yangzhou Univ	-0.9474	-0.0069	2	153	305.9993	849
3375	S W Jiaotong Univ	-0.6519	-0.1822	2	156	389.9993	939
3376	Tianjin Med Univ	-0.9014	-0.4061	2	192	526.9987	1162
3380	China Univ Geosci	-0.4892	0.0177	2	289	869.9985	1999
3410	China Univ Min & Technol	-0.7025	0.0846	2	155	472.9993	1245
3415	Hong Kong Baptist Univ	-0.8708	-0.099	2	219	536.999	827
